|neg|pos
378|['sometimes', 'shy', 'back', 'disappointed', 'quite', 'authoritative']|['helpful', 'really', 'outside', 'good', 'well', 'first']
380|['difficult', 'hard', 'much', 'little', 'many', 'really']|['knowledgeable', 'good', 'really', 'well', 'always', 'interesting']
381|"['much', 'barely', 'extremely', ""'Just"", 'poor', 'boring']"|['clear', 'well', 'really', 'great', 'especially', 'sometimes']
383|['also', 'uneasy', 'brutally', 'vocal', 'much', 'right']|['final', 'really', 'knowledgeable', 'insight', 'definitely', 'much']
385|['serious', 'sometimes', 'deeper', 'good', 'difficult', 'hard']|['really', 'good', 'knowledgeable', 'also', 'clear', 'much']
388|['difficult', 'thick', 'hard', 'understand', 'weak', 'whole']|['sometimes', 'really', 'great', 'knowledgeable', 'well', 'helpful']
390|['little', 'sure', 'completely']|['also', 'always', 'great', 'really', 'clearly', 'good']
391|['well', 'really']|"['interesting', ""'Eager"", 'clear', 'basic', 'good', 'excellent']"
392|[]|['well', 'great', 'friendliest', 'fantastic', 'favorite', 'best']
393|['undergraduate', 'level', 'involved/specialized', 'undergraduate/graduate', 'overall', 'look']|['well', 'good', 'approachable', 'clear', 'extremely', 'really']
395|['sometimes', 'little', 'already', 'literally', 'effective', 'answer']|['sometimes', 'well', 'little', 'always', 'great', 'really']
396|['slowly', 'new', 'together', 'flat', 'perhaps', 'clearly']|['really', 'knowledgeable', 'clearly', 'ever', 'also', 'real']
398|[]|['Very', 'enthusiastic', 'knowledgeable', 'little', 'Good', 'subject']
399|['didnt', 'sometimes', 'effective', 'much', 'lot', 'really']|['human', 'great', 'well', 'really', 'general', 'wish']
400|['often', 'theoretical', 'sometimes', 'little', 'slower', 'hard']|['knowledgeable', 'approachable', 'friendly', 'well', 'fast', 'good']
401|[]|['really', 'enthusiastic', 'outside', 'excellent', 'absolutely', 'smart']
402|['material', 'understandable', 'high', 'well', 'difficult', 'complex']|['always', 'good', 'well', 'knowledgeable', 'nice', 'prepared']
403|[]|['well', 'sometimes', 'thoughtful', 'material', 'much', 'stance']
406|['however']|['whole', 'better', 'great', 'guest', 'material', 'pretty']
407|['essay', 'major', 'boring', 'also', 'write', 'difficult']|['knowledgeable', 'really', 'clear', 'great', 'interesting', 'never']
411|['little', 'good', 'discussion.At', 'always', 'dominate', 'Not']|['nice', 'approachable', 'great', 'even', 'make', 'good']
412|[]|['back', 'subject', 'much', 'many', 'interesting', 'understanding']
414|['sometimes', 'weirdly', 'really', '[', 'bad', 'therefore']|['always', 'willing', 'sometimes', 'interesting', 'Enthusiastic', 'interpretative']
415|['briefs', '+', 'material', 'fairly', 'interested', 'tired']|['also', 'much', 'never', 'quite', 'really', 'open']
416|['much', 'sometimes', 'prepared', 'clear', 'really', 'serious']|['really', 'great', 'knowledgeable', 'interesting', 'well', 'much']
418|"[""'Hard"", ""'Easily"", '[']"|"[""'Tolerant"", ""'Complex"", 'good', 'clearly', 'simple']"
419|['sometimes', 'repetitive', 'inaccessible', '[']|['often', 'clear', 'well', 'really', 'sometimes', 'repetitive']
421|['interesting', 'strongly', 'important', 'nice', 'exactly', 'clearly']|['great', 'really', 'clearly', 'good', 'interesting', 'also']
422|['sometimes', 'little', 'texts', 'bogged', 'lot', 'nearly']|['also', 'clearly', 'sometimes', 'meandering', 'better', 'unenthusiastic']
423|['little', 'much', 'really', 'final', 'available', 'told']|['syllabus', 'clear', 'clearly', 'good', 'sometimes', 'important']
